Time,Volts,Amps
2.419922,47.7,0.0001050059
2.424805,47.8,0.000105011
2.428711,47.9,0.0001050058
2.433594,48.0,0.0001050042
2.438477,48.1,0.000104992
2.442383,48.2,0.0001050081
2.447266,48.3,0.0001050066
2.451172,48.4,0.0001050019
2.456055,48.5,0.0001050066
2.460938,48.6,0.0001050044
2.464844,48.7,0.0001050115
2.469727,48.8,0.0001050073
2.474609,48.9,0.0001050086
2.478516,49.0,0.0001050122
2.483398,49.1,0.00010501
2.487305,49.2,0.0001050066
2.492188,49.3,0.0001050091
2.49707,49.4,0.0001050095
2.500977,49.5,0.0001050068
2.505859,49.6,0.0001050105
2.510742,49.7,0.000105002
2.514648,49.8,0.000105002
2.519531,49.9,0.0001050014
2.524414,50.0,0.0001050076
